TurnNumber,PlayerBalance
707,875.0
708,865.0
709,855.0
710,870.0
711,880.0
712,890.0
713,880.0
714,870.0
715,860.0
716,870.0
717,860.0
718,850.0
719,860.0
720,850.0
721,860.0
722,870.0
723,860.0
724,870.0
725,880.0
726,890.0
727,880.0
728,870.0
729,860.0
730,850.0
731,860.0
732,850.0
733,860.0
734,870.0
735,880.0
736,870.0
737,860.0
738,860.0
739,875.0
740,885.0
741,895.0
742,885.0
743,875.0
744,885.0
745,875.0
746,865.0
747,855.0
748,865.0
749,875.0
750,865.0
751,875.0
752,865.0
753,855.0
754,865.0
755,875.0
756,885.0
757,875.0
758,875.0
759,865.0
760,875.0
761,865.0
762,855.0
763,865.0
764,875.0
765,890.0
766,900.0
767,915.0
768,905.0
769,905.0
770,895.0
771,905.0
772,895.0
773,905.0
774,915.0
775,925.0
776,935.0
777,945.0
778,935.0
779,935.0
780,950.0
781,940.0
782,940.0
783,930.0
784,940.0
785,950.0
786,960.0
787,970.0
788,970.0
789,960.0
790,950.0
791,940.0
792,940.0
793,930.0
794,940.0
795,930.0
796,920.0
797,910.0
798,920.0
799,910.0
800,900.0
801,910.0
802,910.0
803,900.0
804,910.0
805,900.0
806,890.0
807,900.0
808,890.0
809,880.0
810,870.0
811,885.0
812,875.0
813,865.0
814,875.0
815,865.0
816,880.0
817,870.0
818,880.0
819,870.0
820,860.0
821,850.0
822,840.0
823,830.0
824,820.0
825,810.0
826,820.0
827,830.0
828,840.0
829,830.0
830,820.0
831,830.0
832,840.0
833,850.0
834,840.0
835,830.0
836,820.0
837,835.0
838,845.0
839,855.0
840,865.0
841,875.0
842,885.0
843,875.0
844,885.0
845,875.0
846,885.0
847,895.0
848,905.0
849,895.0
850,895.0
851,885.0
852,895.0
853,885.0
854,875.0
855,865.0
856,865.0
857,875.0
858,865.0
859,855.0
860,865.0
861,875.0
862,885.0
863,885.0
864,875.0
865,885.0
866,875.0
867,875.0
868,885.0
869,895.0
870,885.0
871,875.0
872,865.0
873,865.0
874,855.0
875,845.0
876,835.0
877,825.0
878,835.0
879,825.0
880,835.0
881,825.0
882,815.0
883,825.0
884,815.0
885,805.0
886,795.0
887,805.0
888,795.0
889,785.0
890,775.0
891,790.0
892,780.0
893,790.0
894,790.0
895,780.0
896,770.0
897,770.0
898,780.0
899,770.0
